woonplaats;gemeente;provincie;regio
Huizen;Huizen;Noord-Holland;West-Nederland
Huizinge;Loppersum;Groningen;Noord-Nederland
Hulsberg;Beekdaelen;Limburg;Zuid-Nederland
Hulsel;Reusel-DeMierden;Noord-Brabant;Zuid-Nederland
Hulshorst;Nunspeet;Gelderland;Oost-Nederland
Hulst;Hulst;Zeeland;West-Nederland
Hulten;GilzeenRijen;Noord-Brabant;Zuid-Nederland
Hummelo;Bronckhorst;Gelderland;Oost-Nederland
Húns;Leeuwarden;Fryslân;Noord-Nederland
Hunsel;Leudal;Limburg;Zuid-Nederland
Hurdegaryp;Tytsjerksteradiel;Fryslân;Noord-Nederland
Hurwenen;Maasdriel;Gelderland;Oost-Nederland
Idaerd;Leeuwarden;Fryslân;Noord-Nederland
Idsegahuizum;Súdwest-Fryslân;Fryslân;Noord-Nederland
Idskenhuizen;DeFryskeMarren;Fryslân;Noord-Nederland
Ter Idzard;Weststellingwerf;Fryslân;Noord-Nederland
Idzega;Súdwest-Fryslân;Fryslân;Noord-Nederland
Iens;Súdwest-Fryslân;Fryslân;Noord-Nederland
IJhorst;Staphorst;Overijssel;Oost-Nederland
IJlst;Súdwest-Fryslân;Fryslân;Noord-Nederland
IJmuiden;Velsen;Noord-Holland;West-Nederland
IJsselham;Steenwijkerland;Overijssel;Oost-Nederland
IJsselmuiden;Kampen;Overijssel;Oost-Nederland
IJsselstein;IJsselstein;Utrecht;West-Nederland
IJzendijke;Sluis;Zeeland;West-Nederland
IJzendoorn;Neder-Betuwe;Gelderland;Oost-Nederland
Den Ilp;Landsmeer;Noord-Holland;West-Nederland
Ilpendam;Waterland;Noord-Holland;West-Nederland
Indijk;Súdwest-Fryslân;Fryslân;Noord-Nederland
Ingber;Gulpen-Wittem;Limburg;Zuid-Nederland
Ingelum;Waadhoeke;Fryslân;Noord-Nederland
Ingen;Buren;Gelderland;Oost-Nederland
Itens;Súdwest-Fryslân;Fryslân;Noord-Nederland
Ittervoort;Leudal;Limburg;Zuid-Nederland
Jaarsveld;Lopik;Utrecht;West-Nederland
Jabeek;Beekdaelen;Limburg;Zuid-Nederland
Jannum;Noardeast-Fryslân;Fryslân;Noord-Nederland
Jellum;Leeuwarden;Fryslân;Noord-Nederland
Jelsum;Leeuwarden;Fryslân;Noord-Nederland
Jirnsum;Leeuwarden;Fryslân;Noord-Nederland
Jislum;Noardeast-Fryslân;Fryslân;Noord-Nederland
Jisp;Wormerland;Noord-Holland;West-Nederland
Jistrum;Tytsjerksteradiel;Fryslân;Noord-Nederland
Jonkerslân;Opsterland;Fryslân;Noord-Nederland
Jonkersvaart;Westerkwartier;Groningen;Noord-Nederland
Joppe;Lochem;Gelderland;Oost-Nederland
Jorwert;Leeuwarden;Fryslân;Noord-Nederland
Joure;DeFryskeMarren;Fryslân;Noord-Nederland
Jouswier;Noardeast-Fryslân;Fryslân;Noord-Nederland
Jubbega;Heerenveen;Fryslân;Noord-Nederland
Julianadorp;DenHelder;Noord-Holland;West-Nederland
Jutrijp;Súdwest-Fryslân;Fryslân;Noord-Nederland
Kaag;KaagenBraassem;Zuid-Holland;West-Nederland
Kaard;Terschelling;Fryslân;Noord-Nederland
Kaatsheuvel;LoonopZand;Noord-Brabant;Zuid-Nederland
Kalenberg;Steenwijkerland;Overijssel;Oost-Nederland
Kallenkote;Steenwijkerland;Overijssel;Oost-Nederland
Kamerik;Woerden;Utrecht;West-Nederland
Kampen;Kampen;Overijssel;Oost-Nederland
Kamperland;Noord-Beveland;Zeeland;West-Nederland
Kamperveen;Kampen;Overijssel;Oost-Nederland
Kantens;HetHogeland;Groningen;Noord-Nederland
Kapel Avezaath;Tiel;Gelderland;Oost-Nederland
Kapel-Avezaath;Buren;Gelderland;Oost-Nederland
Kapelle;Kapelle;Zeeland;West-Nederland
Kapellebrug;Hulst;Zeeland;West-Nederland
Katlijk;Heerenveen;Fryslân;Noord-Nederland
Kats;Noord-Beveland;Zeeland;West-Nederland
Kattendijke;Goes;Zeeland;West-Nederland
Katwijk;Katwijk;Zuid-Holland;West-Nederland
Katwijk NB;Cuijk;Noord-Brabant;Zuid-Nederland
Katwoude;Waterland;Noord-Holland;West-Nederland
Kedichem;Vijfheerenlanden;Utrecht;West-Nederland
Keent;Oss;Noord-Brabant;Zuid-Nederland
Keijenborg;Bronckhorst;Gelderland;Oost-Nederland
Kekerdom;BergenDal;Gelderland;Oost-Nederland
Kelpen-Oler;Leudal;Limburg;Zuid-Nederland
Kerk Avezaath;Tiel;Gelderland;Oost-Nederland
Kerk-Avezaath;Buren;Gelderland;Oost-Nederland
Kerkdriel;Maasdriel;Gelderland;Oost-Nederland
Kerkenveld;DeWolden;Drenthe;Noord-Nederland
Kerkrade;Kerkrade;Limburg;Zuid-Nederland
Kerkwerve;Schouwen-Duiveland;Zeeland;West-Nederland
Kerkwijk;Zaltbommel;Gelderland;Oost-Nederland
Kessel;PeelenMaas;Limburg;Zuid-Nederland
Kesteren;Neder-Betuwe;Gelderland;Oost-Nederland
De Kiel;Coevorden;Drenthe;Noord-Nederland
Kiel-Windeweer;Midden-Groningen;Groningen;Noord-Nederland
Kilder;Montferland;Gelderland;Oost-Nederland
Kimswerd;Súdwest-Fryslân;Fryslân;Noord-Nederland
Kinderdijk;Molenlanden;Zuid-Holland;West-Nederland
Kinnum;Terschelling;Fryslân;Noord-Nederland
Klaaswaal;HoekscheWaard;Zuid-Holland;West-Nederland
Klarenbeek;Voorst;Gelderland;Oost-Nederland
Klarenbeek;Apeldoorn;Gelderland;Oost-Nederland
Klazienaveen;Emmen;Drenthe;Noord-Nederland
Klazienaveen-Noord;Emmen;Drenthe;Noord-Nederland
Klein Zundert;Zundert;Noord-Brabant;Zuid-Nederland
Klijndijk;Borger-Odoorn;Drenthe;Noord-Nederland
Klimmen;Voerendaal;Limburg;Zuid-Nederland
Kloetinge;Kapelle;Zeeland;West-Nederland
Kloetinge;Goes;Zeeland;West-Nederland
De Klomp;Ede;Gelderland;Oost-Nederland
Klooster Lidlum;Waadhoeke;Fryslân;Noord-Nederland
Kloosterburen;HetHogeland;Groningen;Noord-Nederland
Kloosterhaar;Hardenberg;Overijssel;Oost-Nederland
Kloosterhaar;Twenterand;Overijssel;Oost-Nederland
Kloosterzande;Hulst;Zeeland;West-Nederland
Klundert;Moerdijk;Noord-Brabant;Zuid-Nederland
Knegsel;Eersel;Noord-Brabant;Zuid-Nederland
De Knipe;Heerenveen;Fryslân;Noord-Nederland
Koarnjum;Leeuwarden;Fryslân;Noord-Nederland
Kockengen;StichtseVecht;Utrecht;West-Nederland
Koedijk;Langedijk;Noord-Holland;West-Nederland
Koedijk;Alkmaar;Noord-Holland;West-Nederland
Koekange;DeWolden;Drenthe;Noord-Nederland
Koewacht;Terneuzen;Zeeland;West-Nederland
Kolderwolde;DeFryskeMarren;Fryslân;Noord-Nederland
Kolham;Midden-Groningen;Groningen;Noord-Nederland
Kolhorn;HollandsKroon;Noord-Holland;West-Nederland
Kollum;Noardeast-Fryslân;Fryslân;Noord-Nederland
Kollumerpomp;Noardeast-Fryslân;Fryslân;Noord-Nederland
Kollumerzwaag;Noardeast-Fryslân;Fryslân;Noord-Nederland
Kommerzijl;Westerkwartier;Groningen;Noord-Nederland
Koningsbosch;Echt-Susteren;Limburg;Zuid-Nederland
Koningslust;PeelenMaas;Limburg;Zuid-Nederland
De Koog;Texel;Noord-Holland;West-Nederland
Koog aan de Zaan;Zaanstad;Noord-Holland;West-Nederland
Kootstertille;Achtkarspelen;Fryslân;Noord-Nederland
Kootwijk;Barneveld;Gelderland;Oost-Nederland
Kootwijkerbroek;Barneveld;Gelderland;Oost-Nederland
Kornhorn;Westerkwartier;Groningen;Noord-Nederland
Kornwerderzand;Súdwest-Fryslân;Fryslân;Noord-Nederland
Kortehemmen;Smallingerland;Fryslân;Noord-Nederland
Kortenhoef;Wijdemeren;Noord-Holland;West-Nederland
Kortgene;Noord-Beveland;Zeeland;West-Nederland
Koudekerk aan den Rijn;AlphenaandenRijn;Zuid-Holland;West-Nederland
Koudekerke;Veere;Zeeland;West-Nederland
Koudum;Súdwest-Fryslân;Fryslân;Noord-Nederland
Koufurderrige;Súdwest-Fryslân;Fryslân;Noord-Nederland
Krabbendijke;Reimerswaal;Zeeland;West-Nederland
Kraggenburg;Noordoostpolder;Flevoland;Oost-Nederland
Kreileroord;HollandsKroon;Noord-Holland;West-Nederland
Krewerd;Delfzijl;Groningen;Noord-Nederland
De Krim;Hardenberg;Overijssel;Oost-Nederland
Krimpen aan de Lek;Krimpenerwaard;Zuid-Holland;West-Nederland
Krimpen aan den IJssel;KrimpenaandenIJssel;Zuid-Holland;West-Nederland
Kring van Dorth;Lochem;Gelderland;Oost-Nederland
Krommenie;Zaanstad;Noord-Holland;West-Nederland
Kronenberg;HorstaandeMaas;Limburg;Zuid-Nederland
Kropswolde;Midden-Groningen;Groningen;Noord-Nederland
Kruiningen;Reimerswaal;Zeeland;West-Nederland
Kruisland;Steenbergen;Noord-Brabant;Zuid-Nederland
Kûbaard;Súdwest-Fryslân;Fryslân;Noord-Nederland
Kudelstaart;Aalsmeer;Noord-Holland;West-Nederland
Kuinre;Steenwijkerland;Overijssel;Oost-Nederland
Kuitaart;Hulst;Zeeland;West-Nederland
Kwadendamme;Borsele;Zeeland;West-Nederland
Kwadijk;Edam-Volendam;Noord-Holland;West-Nederland
De Kwakel;Uithoorn;Noord-Holland;West-Nederland
Kwintsheul;Westland;Zuid-Holland;West-Nederland
Laag Zuthem;Raalte;Overijssel;Oost-Nederland
Laag-Keppel;Bronckhorst;Gelderland;Oost-Nederland
Laag-Soeren;Rheden;Gelderland;Oost-Nederland
Lage Mierde;Reusel-DeMierden;Noord-Brabant;Zuid-Nederland
Lage Vuursche;Baarn;Utrecht;West-Nederland
Lage Zwaluwe;Drimmelen;Noord-Brabant;Zuid-Nederland
Lageland;Midden-Groningen;Groningen;Noord-Nederland
Lageland GN;Groningen;Groningen;Noord-Nederland
Lambertschaag;Medemblik;Noord-Holland;West-Nederland
Lamswaarde;Hulst;Zeeland;West-Nederland
Landerum;Terschelling;Fryslân;Noord-Nederland
Landgraaf;Landgraaf;Limburg;Zuid-Nederland
Landhorst;SintAnthonis;Noord-Brabant;Zuid-Nederland
Landsmeer;Landsmeer;Noord-Holland;West-Nederland
Langbroek;WijkbijDuurstede;Utrecht;West-Nederland
Langedijke;Ooststellingwerf;Fryslân;Noord-Nederland
Langelille;Weststellingwerf;Fryslân;Noord-Nederland
Langelo;Noordenveld;Drenthe;Noord-Nederland
Langenboom;MillenSintHubert;Noord-Brabant;Zuid-Nederland
Langerak;Molenlanden;Zuid-Holland;West-Nederland
Langeveen;Tubbergen;Overijssel;Oost-Nederland
Langeweg;Moerdijk;Noord-Brabant;Zuid-Nederland
Langezwaag;Opsterland;Fryslân;Noord-Nederland
Langweer;DeFryskeMarren;Fryslân;Noord-Nederland
Laren;Lochem;Gelderland;Oost-Nederland
Laren;Laren;Noord-Holland;West-Nederland
Lathum;Zevenaar;Gelderland;Oost-Nederland
Lattrop-Breklenkamp;Dinkelland;Overijssel;Oost-Nederland
Lauwersoog;HetHogeland;Groningen;Noord-Nederland
Lauwerzijl;Westerkwartier;Groningen;Noord-Nederland
Ledeacker;SintAnthonis;Noord-Brabant;Zuid-Nederland
Leek;Westerkwartier;Groningen;Noord-Nederland
Leende;Heeze-Leende;Noord-Brabant;Zuid-Nederland
Leens;HetHogeland;Groningen;Noord-Nederland
Leerbroek;Vijfheerenlanden;Utrecht;West-Nederland
Leerdam;Vijfheerenlanden;Utrecht;West-Nederland
Leermens;Loppersum;Groningen;Noord-Nederland
Leersum;UtrechtseHeuvelrug;Utrecht;West-Nederland
Leeuwarden;Leeuwarden;Fryslân;Noord-Nederland
Legemeer;DeFryskeMarren;Fryslân;Noord-Nederland
Leiden;Leiden;Zuid-Holland;West-Nederland
Leiderdorp;Leiderdorp;Zuid-Holland;West-Nederland
Leidschendam;Leidschendam-Voorburg;Zuid-Holland;West-Nederland
Leimuiden;KaagenBraassem;Zuid-Holland;West-Nederland
Leimuiderbrug;Haarlemmermeer;Noord-Holland;West-Nederland
Lekkerkerk;Krimpenerwaard;Zuid-Holland;West-Nederland
Lekkum;Leeuwarden;Fryslân;Noord-Nederland
Lellens;Groningen;Groningen;Noord-Nederland
Lelystad;Lelystad;Flevoland;Oost-Nederland
Lemele;Ommen;Overijssel;Oost-Nederland
Lemelerveld;Dalfsen;Overijssel;Oost-Nederland
Lemiers;Vaals;Limburg;Zuid-Nederland
Lemmer;DeFryskeMarren;Fryslân;Noord-Nederland
Lengel;Montferland;Gelderland;Oost-Nederland
Lent;Nijmegen;Gelderland;Oost-Nederland
Leons;Leeuwarden;Fryslân;Noord-Nederland
Lepelstraat;BergenopZoom;Noord-Brabant;Zuid-Nederland
Lettelbert;Westerkwartier;Groningen;Noord-Nederland
Lettele;Deventer;Overijssel;Oost-Nederland
Leunen;Venray;Limburg;Zuid-Nederland
Leur;Wijchen;Gelderland;Oost-Nederland
Leusden;Leusden;Utrecht;West-Nederland
Leuth;BergenDal;Gelderland;Oost-Nederland
Leutingewolde;Noordenveld;Drenthe;Noord-Nederland
Leuvenheim;Brummen;Gelderland;Oost-Nederland
Leveroy;Nederweert;Limburg;Zuid-Nederland
Lewedorp;Borsele;Zeeland;West-Nederland
Lexmond;Vijfheerenlanden;Utrecht;West-Nederland
Lichtaard;Noardeast-Fryslân;Fryslân;Noord-Nederland
Lichtenvoorde;OostGelre;Gelderland;Oost-Nederland
Liempde;Boxtel;Noord-Brabant;Zuid-Nederland
Lienden;Buren;Gelderland;Oost-Nederland
De Lier;Westland;Zuid-Holland;West-Nederland
Lierderholthuis;Raalte;Overijssel;Oost-Nederland
Lieren;Apeldoorn;Gelderland;Oost-Nederland
Lierop;Someren;Noord-Brabant;Zuid-Nederland
Lies;Terschelling;Fryslân;Noord-Nederland
Lieshout;Laarbeek;Noord-Brabant;Zuid-Nederland
Liessel;Deurne;Noord-Brabant;Zuid-Nederland
Lievelde;OostGelre;Gelderland;Oost-Nederland
Lieveren;Noordenveld;Drenthe;Noord-Nederland
Lijnden;Haarlemmermeer;Noord-Holland;West-Nederland
Limbricht;Sittard-Geleen;Limburg;Zuid-Nederland
Limmen;Castricum;Noord-Holland;West-Nederland
Linde;DeWolden;Drenthe;Noord-Nederland
Linden;Cuijk;Noord-Brabant;Zuid-Nederland
Linne;Maasgouw;Limburg;Zuid-Nederland
Linschoten;Montfoort;Utrecht;West-Nederland
Lioessens;Noardeast-Fryslân;Fryslân;Noord-Nederland
Lippenhuizen;Opsterland;Fryslân;Noord-Nederland
Lisse;Lisse;Zuid-Holland;West-Nederland
Lisserbroek;Haarlemmermeer;Noord-Holland;West-Nederland
Lith;Oss;Noord-Brabant;Zuid-Nederland
Lithoijen;Oss;Noord-Brabant;Zuid-Nederland
Lobith;Zevenaar;Gelderland;Oost-Nederland
Lochem;Lochem;Gelderland;Oost-Nederland
Loenen;Apeldoorn;Gelderland;Oost-Nederland
Loenen aan de Vecht;StichtseVecht;Utrecht;West-Nederland
Loenersloot;StichtseVecht;Utrecht;West-Nederland
Loënga;Súdwest-Fryslân;Fryslân;Noord-Nederland
Loerbeek;Montferland;Gelderland;Oost-Nederland
Lollum;Súdwest-Fryslân;Fryslân;Noord-Nederland
Lomm;Venlo;Limburg;Zuid-Nederland
Longerhouw;Súdwest-Fryslân;Fryslân;Noord-Nederland
Loo Gld;Duiven;Gelderland;Oost-Nederland
Loo Gld;Lingewaard;Gelderland;Oost-Nederland
't Loo Oldebroek;Oldebroek;Gelderland;Oost-Nederland
Loon;Assen;Drenthe;Noord-Nederland
Loon op Zand;LoonopZand;Noord-Brabant;Zuid-Nederland
Loosbroek;Bernheze;Noord-Brabant;Zuid-Nederland
Loosdrecht;Wijdemeren;Noord-Holland;West-Nederland
Loozen;Hardenberg;Overijssel;Oost-Nederland
Lopik;Lopik;Utrecht;West-Nederland
Lopikerkapel;Lopik;Utrecht;West-Nederland
Loppersum;Loppersum;Groningen;Noord-Nederland
Losdorp;Delfzijl;Groningen;Noord-Nederland
Losser;Losser;Overijssel;Oost-Nederland
Lottum;HorstaandeMaas;Limburg;Zuid-Nederland
Lucaswolde;Westerkwartier;Groningen;Noord-Nederland
Luddeweer;Midden-Groningen;Groningen;Noord-Nederland
Luinjeberd;Heerenveen;Fryslân;Noord-Nederland
Lunteren;Ede;Gelderland;Oost-Nederland
Lutjebroek;StedeBroec;Noord-Holland;West-Nederland
Lutjegast;Westerkwartier;Groningen;Noord-Nederland
Lutjewinkel;HollandsKroon;Noord-Holland;West-Nederland
de Lutte;Losser;Overijssel;Oost-Nederland
Luttelgeest;Noordoostpolder;Flevoland;Oost-Nederland
Lutten;Hardenberg;Overijssel;Oost-Nederland
Luttenberg;Raalte;Overijssel;Oost-Nederland
Luxwoude;Opsterland;Fryslân;Noord-Nederland
Luyksgestel;Bergeijk;Noord-Brabant;Zuid-Nederland
Lytsewierrum;Súdwest-Fryslân;Fryslân;Noord-Nederland
Maarheeze;Cranendonck;Noord-Brabant;Zuid-Nederland
Maarn;UtrechtseHeuvelrug;Utrecht;West-Nederland
Maarsbergen;UtrechtseHeuvelrug;Utrecht;West-Nederland
Maarssen;StichtseVecht;Utrecht;West-Nederland
Maartensdijk;DeBilt;Utrecht;West-Nederland
Maasbommel;WestMaasenWaal;Gelderland;Oost-Nederland
Maasbracht;Maasgouw;Limburg;Zuid-Nederland
Maasbree;PeelenMaas;Limburg;Zuid-Nederland
Maasdam;HoekscheWaard;Zuid-Holland;West-Nederland
Maasdijk;Westland;Zuid-Holland;West-Nederland
Maashees;Boxmeer;Noord-Brabant;Zuid-Nederland
Maasland;Midden-Delfland;Zuid-Holland;West-Nederland
Maassluis;Maassluis;Zuid-Holland;West-Nederland
Maastricht;Maastricht;Limburg;Zuid-Nederland
Maastricht-Airport;Beek;Limburg;Zuid-Nederland
Maasvlakte Rotterdam;Rotterdam;Zuid-Holland;West-Nederland
Macharen;Oss;Noord-Brabant;Zuid-Nederland
Made;Drimmelen;Noord-Brabant;Zuid-Nederland
Makkinga;Ooststellingwerf;Fryslân;Noord-Nederland
Makkum;Súdwest-Fryslân;Fryslân;Noord-Nederland
Malden;Heumen;Gelderland;Oost-Nederland
Mander;Tubbergen;Overijssel;Oost-Nederland
Manderveen;Tubbergen;Overijssel;Oost-Nederland
Mantgum;Leeuwarden;Fryslân;Noord-Nederland
Mantinge;Midden-Drenthe;Drenthe;Noord-Nederland
Maren-Kessel;Oss;Noord-Brabant;Zuid-Nederland
Margraten;Eijsden-Margraten;Limburg;Zuid-Nederland
Maria Hoop;Echt-Susteren;Limburg;Zuid-Nederland
Mariahout;Laarbeek;Noord-Brabant;Zuid-Nederland
Mariaparochie;Tubbergen;Overijssel;Oost-Nederland
Mariënberg;Hardenberg;Overijssel;Oost-Nederland
Mariënheem;Raalte;Overijssel;Oost-Nederland
Mariënvelde;OostGelre;Gelderland;Oost-Nederland
Marijenkampen;Steenwijkerland;Overijssel;Oost-Nederland
Markelo;HofvanTwente;Overijssel;Oost-Nederland
Marken;Waterland;Noord-Holland;West-Nederland
Markenbinnen;Alkmaar;Noord-Holland;West-Nederland
Marknesse;Noordoostpolder;Flevoland;Oost-Nederland
Marle;Olst-Wijhe;Overijssel;Oost-Nederland
Marrum;Noardeast-Fryslân;Fryslân;Noord-Nederland
Marsum;Waadhoeke;Fryslân;Noord-Nederland
Marum;Westerkwartier;Groningen;Noord-Nederland
Marwijksoord;AaenHunze;Drenthe;Noord-Nederland
Mastenbroek;Zwartewaterland;Overijssel;Oost-Nederland
Mastenbroek;Kampen;Overijssel;Oost-Nederland
Matsloot;Noordenveld;Drenthe;Noord-Nederland
Maurik;Buren;Gelderland;Oost-Nederland
Mechelen;Gulpen-Wittem;Limburg;Zuid-Nederland
Medemblik;Medemblik;Noord-Holland;West-Nederland
Meeden;Midden-Groningen;Groningen;Noord-Nederland
Meedhuizen;Delfzijl;Groningen;Noord-Nederland
Meerkerk;Vijfheerenlanden;Utrecht;West-Nederland
Meerlo;HorstaandeMaas;Limburg;Zuid-Nederland
De Meern;Utrecht;Utrecht;West-Nederland
Meerssen;Meerssen;Limburg;Zuid-Nederland
Meerstad;Groningen;Groningen;Noord-Nederland
Meeuwen;Altena;Noord-Brabant;Zuid-Nederland
Megchelen;OudeIJsselstreek;Gelderland;Oost-Nederland
Megen;Oss;Noord-Brabant;Zuid-Nederland
Meijel;PeelenMaas;Limburg;Zuid-Nederland
Melderslo;HorstaandeMaas;Limburg;Zuid-Nederland
Melick;Roerdalen;Limburg;Zuid-Nederland
Meliskerke;Veere;Zeeland;West-Nederland
Melissant;Goeree-Overflakkee;Zuid-Holland;West-Nederland
Menaam;Waadhoeke;Fryslân;Noord-Nederland
Mensingeweer;HetHogeland;Groningen;Noord-Nederland
Meppel;Meppel;Drenthe;Noord-Nederland
Meppen;Coevorden;Drenthe;Noord-Nederland
Merkelbeek;Beekdaelen;Limburg;Zuid-Nederland
Merselo;Venray;Limburg;Zuid-Nederland
Meteren;WestBetuwe;Gelderland;Oost-Nederland
Meterik;HorstaandeMaas;Limburg;Zuid-Nederland
Metslawier;Noardeast-Fryslân;Fryslân;Noord-Nederland
Mheer;Eijsden-Margraten;Limburg;Zuid-Nederland
Middelaar;MookenMiddelaar;Limburg;Zuid-Nederland
Middelburg;Middelburg;Zeeland;West-Nederland
Middelharnis;Goeree-Overflakkee;Zuid-Holland;West-Nederland
Middelie;Edam-Volendam;Noord-Holland;West-Nederland
Middelstum;Loppersum;Groningen;Noord-Nederland
Middenbeemster;Beemster;Noord-Holland;West-Nederland
Middenmeer;HollandsKroon;Noord-Holland;West-Nederland
Midlaren;Tynaarlo;Drenthe;Noord-Nederland
Midlum;Harlingen;Fryslân;Noord-Nederland
Midsland;Terschelling;Fryslân;Noord-Nederland
Midwolda;Oldambt;Groningen;Noord-Nederland
Midwolde;Westerkwartier;Groningen;Noord-Nederland
Midwoud;Medemblik;Noord-Holland;West-Nederland
Miedum;Leeuwarden;Fryslân;Noord-Nederland
Mierlo;Geldrop-Mierlo;Noord-Brabant;Zuid-Nederland
Mijdrecht;DeRondeVenen;Utrecht;West-Nederland
Mijnsheerenland;HoekscheWaard;Zuid-Holland;West-Nederland
Mildam;Heerenveen;Fryslân;Noord-Nederland
Milheeze;Gemert-Bakel;Noord-Brabant;Zuid-Nederland
Mill;MillenSintHubert;Noord-Brabant;Zuid-Nederland
Millingen aan de Rijn;BergenDal;Gelderland;Oost-Nederland
Milsbeek;Gennep;Limburg;Zuid-Nederland
Minnertsga;Waadhoeke;Fryslân;Noord-Nederland
Mirns;DeFryskeMarren;Fryslân;Noord-Nederland
Moddergat;Noardeast-Fryslân;Fryslân;Noord-Nederland
De Moer;LoonopZand;Noord-Brabant;Zuid-Nederland
Moerdijk;Moerdijk;Noord-Brabant;Zuid-Nederland
Moergestel;Oisterwijk;Noord-Brabant;Zuid-Nederland
Moerkapelle;Zuidplas;Zuid-Holland;West-Nederland
Moerstraten;Roosendaal;Noord-Brabant;Zuid-Nederland
Molenaarsgraaf;Molenlanden;Zuid-Holland;West-Nederland
Molenhoek;MookenMiddelaar;Limburg;Zuid-Nederland
Molenschot;GilzeenRijen;Noord-Brabant;Zuid-Nederland
Molkwerum;Súdwest-Fryslân;Fryslân;Noord-Nederland
Monnickendam;Waterland;Noord-Holland;West-Nederland
Monster;Westland;Zuid-Holland;West-Nederland
Montfoort;Montfoort;Utrecht;West-Nederland
Montfort;Roerdalen;Limburg;Zuid-Nederland
Mook;MookenMiddelaar;Limburg;Zuid-Nederland
Mookhoek;HoekscheWaard;Zuid-Holland;West-Nederland
Moordrecht;Zuidplas;Zuid-Holland;West-Nederland
Moorveld;Meerssen;Limburg;Zuid-Nederland
Morra;Noardeast-Fryslân;Fryslân;Noord-Nederland
De Mortel;Gemert-Bakel;Noord-Brabant;Zuid-Nederland
Muiden;GooiseMeren;Noord-Holland;West-Nederland
Muiderberg;GooiseMeren;Noord-Holland;West-Nederland
Mûnein;Tytsjerksteradiel;Fryslân;Noord-Nederland
Munnekeburen;Weststellingwerf;Fryslân;Noord-Nederland
Munnekezijl;Noardeast-Fryslân;Fryslân;Noord-Nederland
Munstergeleen;Sittard-Geleen;Limburg;Zuid-Nederland
Muntendam;Midden-Groningen;Groningen;Noord-Nederland
Mussel;Stadskanaal;Groningen;Noord-Nederland
Musselkanaal;Stadskanaal;Groningen;Noord-Nederland
Naaldwijk;Westland;Zuid-Holland;West-Nederland
Naarden;GooiseMeren;Noord-Holland;West-Nederland
Nagele;Noordoostpolder;Flevoland;Oost-Nederland
Nederasselt;Heumen;Gelderland;Oost-Nederland
Nederhemert;Zaltbommel;Gelderland;Oost-Nederland
Nederhorst den Berg;Wijdemeren;Noord-Holland;West-Nederland
Nederweert;Nederweert;Limburg;Zuid-Nederland
Nederweert-Eind;Nederweert;Limburg;Zuid-Nederland
Neede;Berkelland;Gelderland;Oost-Nederland
Neer;Leudal;Limburg;Zuid-Nederland
Neerijnen;WestBetuwe;Gelderland;Oost-Nederland
Neeritter;Leudal;Limburg;Zuid-Nederland
Neerkant;Deurne;Noord-Brabant;Zuid-Nederland
Neerlangel;Oss;Noord-Brabant;Zuid-Nederland
Neerloon;Oss;Noord-Brabant;Zuid-Nederland
Nes;Heerenveen;Fryslân;Noord-Nederland
Nes;Ameland;Fryslân;Noord-Nederland
Nes;Noardeast-Fryslân;Fryslân;Noord-Nederland
Netersel;Bladel;Noord-Brabant;Zuid-Nederland
Netterden;OudeIJsselstreek;Gelderland;Oost-Nederland
Niawier;Noardeast-Fryslân;Fryslân;Noord-Nederland
Nibbixwoud;Medemblik;Noord-Holland;West-Nederland
Niebert;Westerkwartier;Groningen;Noord-Nederland
Niehove;Westerkwartier;Groningen;Noord-Nederland
Niekerk;Westerkwartier;Groningen;Noord-Nederland
Niekerk;HetHogeland;Groningen;Noord-Nederland
Nietap;Noordenveld;Drenthe;Noord-Nederland
Nieuw Annerveen;AaenHunze;Drenthe;Noord-Nederland
Nieuw Beerta;Oldambt;Groningen;Noord-Nederland
Nieuw- en Sint Joosland;Middelburg;Zeeland;West-Nederland
Nieuw Heeten;Raalte;Overijssel;Oost-Nederland
Nieuw Namen;Hulst;Zeeland;West-Nederland
Nieuw Scheemda;Oldambt;Groningen;Noord-Nederland
Nieuwaal;Zaltbommel;Gelderland;Oost-Nederland
Nieuw-Amsterdam;Emmen;Drenthe;Noord-Nederland
Nieuw-Balinge;Midden-Drenthe;Drenthe;Noord-Nederland
Nieuw-Beijerland;HoekscheWaard;Zuid-Holland;West-Nederland
Nieuw-Buinen;Borger-Odoorn;Drenthe;Noord-Nederland
Nieuw-Dordrecht;Emmen;Drenthe;Noord-Nederland
Nieuwdorp;Borsele;Zeeland;West-Nederland
Nieuwe Niedorp;HollandsKroon;Noord-Holland;West-Nederland
Nieuwe Pekela;Pekela;Groningen;Noord-Nederland
Nieuwe Wetering;KaagenBraassem;Zuid-Holland;West-Nederland
Nieuwebrug;Heerenveen;Fryslân;Noord-Nederland
Nieuwediep;AaenHunze;Drenthe;Noord-Nederland
Nieuwegein;Nieuwegein;Utrecht;West-Nederland
Nieuwehorne;Heerenveen;Fryslân;Noord-Nederland
Nieuwendijk;Altena;Noord-Brabant;Zuid-Nederland
Nieuwer Ter Aa;StichtseVecht;Utrecht;West-Nederland
Nieuwerbrug aan den Rijn;Bodegraven-Reeuwijk;Zuid-Holland;West-Nederland
Nieuwerkerk;Schouwen-Duiveland;Zeeland;West-Nederland
Nieuwerkerk aan den IJssel;Zuidplas;Zuid-Holland;West-Nederland
Nieuweroord;Hoogeveen;Drenthe;Noord-Nederland
